target_name,hypothesis_id,hypothesis_rank,side,neuron_idx,candidate_idx,discovery_target_separation,fidelity_gap,interpretation,heldout_yes_rate,heldout_separation,effect,se,p_value,n_pairs,p_bonf,bonferroni_sig_0_05,bh_q,source,positive_yes_rate,negative_yes_rate,paired_z,paired_p,paired_bh_q,n_positive,n_negative,positive_only_pairs,negative_only_pairs,tied_pairs,n_present,n_absent,effect_pp,se_pp,ci_low_pp,ci_high_pp,primary_category,category_vote_count,disagreement_level,novelty_score,category_display,is_significant,display_label
same_task_substitution_vs_other_exposed,same_task_substitution_vs_other_exposed__h18__n396,18,Other exposed clear margin,396,1,-0.2364627994955863,0.596,mentions limited or constrained infrastructure/connectivity as the reason automation is only partial or difficult,0.162,-0.116,-0.063,0.011,,2000,3.31455e-07,True,,margin,0.13,0.193,-5.644,1.65728e-08,4.73507e-08,2000.0,2000.0,190.0,316.0,1494.0,646.0,3354.0,-6.3,1.0999999999999999,-8.456,-4.144,country_context_condition,3,unanimous_category,incremental,Country context,True,Mentions limited or constrained infrastructure/connectivity as the reason automation is only partial or difficult
same_task_substitution_vs_other_exposed,same_task_substitution_vs_other_exposed__h14__n349,14,Other exposed clear margin,349,2,-0.2626269702276708,0.648,routine customer-facing inquiries and explanations handled by conversational agents or chatbots,0.326,-0.082,-0.072,0.013,,2000,1.30143e-06,True,,margin,0.29,0.362,-5.404,6.50717e-08,1.62679e-07,2000.0,2000.0,288.0,432.0,1280.0,1304.0,2696.0,-7.199999999999999,1.3,-9.748,-4.651999999999999,country_context_condition,3,unanimous_category,validation,Country context,True,Routine customer-facing inquiries and explanations handled by conversational agents or chatbots
same_task_substitution_vs_other_exposed,same_task_substitution_vs_other_exposed__h05__n186,5,Other exposed clear margin,186,1,-0.3582982154934706,0.332,mentions drafting or generating new documents/proposals/plans from existing information,0.412,-0.076,-0.073,0.014,,2000,3.18806e-06,True,,margin,0.376,0.449,-5.241,1.59403e-07,3.54229e-07,2000.0,2000.0,325.0,472.0,1203.0,1649.0,2351.0,-7.3,1.4000000000000001,-10.044,-4.555999999999999,task_specific_condition,3,unanimous_category,validation,Task-specific,True,Mentions drafting or generating new documents/proposals/plans from existing information
same_task_substitution_vs_other_exposed,same_task_substitution_vs_other_exposed__h12__n468,12,Substitution-only exposed,468,2,0.2661842248019963,0.36,"descriptions of fully automated, rule-based digital workflows using integrated systems, APIs, or deterministic rule engines that replace manual data entry, filing, reconciliation, or compliance checks",0.417,0.07,0.068,0.014,,2000,1.05501e-05,True,,margin,0.452,0.384,5.016,5.27507e-07,1.05501e-06,2000.0,2000.0,440.0,304.0,1256.0,1670.0,2330.0,6.800000000000001,1.4000000000000001,4.056000000000001,9.544,country_context_condition,3,unanimous_category,incremental,Country context,True,"Descriptions of fully automated, rule-based digital workflows using integrated systems, APIs, or deterministic rule engines that replace manual data entry, filing, reconciliation, or compliance checks"
same_task_substitution_vs_other_exposed,same_task_substitution_vs_other_exposed__h19__n213,19,Substitution-only exposed,213,1,0.2321250758955677,0.688,routine customer inquiries handled by conversational AI agents,0.197,-0.077,-0.049,0.011,,2000,9.7554e-05,True,,margin,0.173,0.222,-4.57,4.8777e-06,8.86855e-06,2000.0,2000.0,179.0,276.0,1545.0,789.0,3211.0,-4.9,1.0999999999999999,-7.056,-2.7440000000000007,country_context_condition,3,unanimous_category,validation,Country context,True,Routine customer inquiries handled by conversational AI agents
same_task_substitution_vs_other_exposed,same_task_substitution_vs_other_exposed__h03__n461,3,Substitution-only exposed,461,2,0.4275652664512489,0.56,"mentions industrial manufacturing tasks involving CNC machines, robotic arms, and other physical production equipment replacing manual fabrication or finishing work",0.262,0.055,0.043,0.01,,2000,0.000725789,True,,margin,0.283,0.241,4.13,3.62894e-05,6.04824e-05,2000.0,2000.0,256.0,171.0,1573.0,1049.0,2951.0,4.3,1.0,2.34,6.26,country_context_condition,3,unanimous_category,incremental,Country context,True,"Mentions industrial manufacturing tasks involving CNC machines, robotic arms, and other physical production equipment replacing manual fabrication or finishing work"
same_task_substitution_vs_other_exposed,same_task_substitution_vs_other_exposed__h17__n13,17,Substitution-only exposed,13,1,0.2387024491922876,0.572,"clerical office tasks involving data entry, filing, document routing, scheduling, and basic communication",0.188,-0.066,-0.041,0.01,,2000,0.00180369,True,,margin,0.168,0.208,-3.916,9.01845e-05,0.000138745,2000.0,2000.0,175.0,256.0,1569.0,751.0,3249.0,-4.1000000000000005,1.0,-6.0600000000000005,-2.1400000000000006,task_specific_condition,3,unanimous_category,validation,Task-specific,True,"Clerical office tasks involving data entry, filing, document routing, scheduling, and basic communication"
same_task_substitution_vs_other_exposed,same_task_substitution_vs_other_exposed__h08__n93,8,Other exposed clear margin,93,2,-0.2838325016718968,0.544,"mentions automated vision-based defect inspection of surfaces, seams, or material irregularities",0.102,-0.055,-0.02,0.008,,2000,0.176527,False,,margin,0.092,0.112,-2.619,0.00882634,0.0126091,2000.0,2000.0,97.0,137.0,1766.0,408.0,3592.0,-2.0,0.8,-3.568,-0.43199999999999994,country_context_condition,3,unanimous_category,,Country context,False,"Mentions automated vision-based defect inspection of surfaces, seams, or material irregularities"
same_task_substitution_vs_other_exposed,same_task_substitution_vs_other_exposed__h11__n407,11,Other exposed clear margin,407,1,-0.2717144009681324,0.372,"mentions drafting or generating educational materials such as syllabi, lesson plans, assignments, curricula, or exam content",0.049,-0.045,-0.009,0.006,,2000,1.0,False,,margin,0.045,0.053,-1.316,0.188261,0.235327,2000.0,2000.0,75.0,92.0,1833.0,197.0,3803.0,-0.8999999999999999,0.6,-2.0759999999999996,0.276,task_specific_condition,3,unanimous_category,,Task-specific,False,"Mentions drafting or generating educational materials such as syllabi, lesson plans, assignments, curricula, or exam content"
same_task_substitution_vs_other_exposed,same_task_substitution_vs_other_exposed__h06__n265,6,Other exposed clear margin,265,1,-0.343990646128819,0.384,"mentions routine sales, membership, leasing, scheduling, prospecting, or outreach workflows alongside human relationship-building or negotiation",0.037,-0.024,-0.004,0.006,,2000,1.0,False,,margin,0.035,0.039,-0.616,0.537749,0.566052,2000.0,2000.0,61.0,68.0,1871.0,149.0,3851.0,-0.4,0.6,-1.576,0.7759999999999999,task_specific_condition,3,unanimous_category,,Task-specific,False,"Mentions routine sales, membership, leasing, scheduling, prospecting, or outreach workflows alongside human relationship-building or negotiation"
same_task_substitution_vs_other_exposed,same_task_substitution_vs_other_exposed__h15__n159,15,Substitution-only exposed,159,2,0.2542503072511266,0.656,mentions physical machinery or heavy equipment replacing manual labor in construction or site-preparation work,0.306,0.022,0.018,0.011,,2000,1.0,False,,margin,0.316,0.297,1.677,0.0934662,0.124622,2000.0,2000.0,262.0,225.0,1513.0,1225.0,2775.0,1.7999999999999998,1.0999999999999999,-0.35599999999999987,3.9559999999999995,country_context_condition,3,unanimous_category,,Country context,False,Mentions physical machinery or heavy equipment replacing manual labor in construction or site-preparation work
same_task_substitution_vs_other_exposed,same_task_substitution_vs_other_exposed__h10__n158,10,Other exposed clear margin,158,2,-0.2763317417479759,0.424,"mentions standard business software for administrative tasks like accounting, payroll, invoicing, inventory tracking, or record-keeping",0.138,0.016,0.007,0.009,,2000,1.0,False,,margin,0.142,0.135,0.817,0.413909,0.459899,2000.0,2000.0,176.0,161.0,1663.0,553.0,3447.0,0.7000000000000001,0.8999999999999999,-1.0639999999999996,2.464,country_context_condition,3,unanimous_category,,Country context,False,"Mentions standard business software for administrative tasks like accounting, payroll, invoicing, inventory tracking, or record-keeping"
same_task_substitution_vs_other_exposed,same_task_substitution_vs_other_exposed__h04__n80,4,Substitution-only exposed,80,1,0.3659084576087517,0.768,"mentions ERP, MRP, PLM, or other enterprise software automating administrative planning, record-keeping, procurement, scheduling, or data-entry workflows",0.198,0.015,0.009,0.011,,2000,1.0,False,,margin,0.203,0.194,0.905,0.365613,0.430133,2000.0,2000.0,230.0,211.0,1559.0,793.0,3207.0,0.8999999999999999,1.0999999999999999,-1.2559999999999998,3.0559999999999996,country_context_condition,3,unanimous_category,,Country context,False,"Mentions ERP, MRP, PLM, or other enterprise software automating administrative planning, record-keeping, procurement, scheduling, or data-entry workflows"
same_task_substitution_vs_other_exposed,same_task_substitution_vs_other_exposed__h20__n236,20,Substitution-only exposed,236,1,0.2221834061135371,0.692,"mentions digital government portals or e-government systems automating form filling, submissions, or routine administrative inquiries",0.116,0.002,0.001,0.008,,2000,1.0,False,,margin,0.116,0.115,0.124,0.901312,0.901312,2000.0,2000.0,131.0,129.0,1740.0,462.0,3538.0,0.1,0.8,-1.468,1.6680000000000001,country_context_condition,3,unanimous_category,,Country context,False,"Mentions digital government portals or e-government systems automating form filling, submissions, or routine administrative inquiries"
